"scene_number","scene_heading","source_principale","reference_iliade","degre_fidelite","libelle_degre","regle","justification","a_relire"
"41","EXT. AGAMEMNON'S WARSHIP","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"42","EXT. TROJAN BEACH FORTIFICATIONS - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"43","EXT. TROJAN ARMORY - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"44","INT. TROJAN ARMORY - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"45","EXT. ACHILLES' WARSHIP","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"46","EXT. GATES OF TROY - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"47","EXT. ACHILLES' WARSHIP - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"48","EXT. TROJAN BEACH FORTIFICATIONS - CONTINUOUS","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"49","EXT. TROJAN BEACH - CONTINUOUS","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"50","EXT. ACHILLES' WARSHIP - CONTINUOUS","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"51","EXT. TROJAN BEACH - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"52","EXT. AGAMEMNON'S SHIP - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"53","EXT. TROJAN PLAIN - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"54","EXT. TROJAN BEACH - CONTINUOUS","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"55","EXT. AJAX'S SHIP - CONTINUOUS","L'Iliade","Chant VII","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"56","EXT. TROJAN BEACH DUNES - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"57","EXT. TEMPLE OF APOLLO - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"58","EXT. AJAX'S SHIP - CONTINUOUS","L'Iliade","Chant VII","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"59","EXT. TEMPLE OF APOLLO - CONTINUOUS","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"60","EXT. TROJAN BEACH - CONTINUOUS","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"61","EXT. TEMPLE OF APOLLO - CONTINUOUS","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"62","EXT. TROJAN BEACH - DAY","L'Iliade","Chant VII","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"63","INT. TEMPLE OF APOLLO - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"64","EXT. TROJAN BEACH - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"65","INT. ALTAR ROOM - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"66","EXT. TEMPLE OF APOLLO - CONTINUOUS","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"67","EXT. TROJAN BEACH - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"68","EXT. AGAMEMNON'S SHIP - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"69","EXT. BEACH ENCAMPMENT - LATER","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"70","INT. ACHILLES' TENT - CONTINUOUS","L'Iliade","Chant I","4","invention contradictoire","override_contradiction","Briséis princesse troyenne ou cousine d'Hector : Briséis est homérique comme captive d'Achille, mais sa généalogie troyenne filmique est inventée.","False"
"71","EXT. AGAMEMNON'S TENT - LATER","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"72","INT. AGAMEMNON'S TENT - CONTINUOUS","L'Iliade","Chant I","4","invention contradictoire","override_contradiction","Briséis princesse troyenne ou cousine d'Hector : Briséis est homérique comme captive d'Achille, mais sa généalogie troyenne filmique est inventée.","False"
"73","EXT. BEACH ENCAMPMENT - DAY","L'Iliade","Chant VII","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"74","EXT. CITY OF TROY - DUSK","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"75","EXT. BEACH ENCAMPMENT - NIGHT","L'Iliade","Chant VII","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"76","INT. PRIAM'S MEETING HALL - NIGHT","L'Iliade","Chant III, Chant XII","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"77","EXT. PALACE GARDEN - NIGHT","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"78","INT. HECTOR'S CHAMBER - NIGHT","L'Iliade","Chant VI","2","déplacement","override_deplacement","Scène identifiée comme déplacement ou condensation d'un motif antique.","False"
"79","INT. PALACE HALL - LATER","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"80","EXT. PALACE GARDEN - CONTINUOUS","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"81","EXT. BEACH ENCAMPMENT - DAWN","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"82","INT. ACHILLES' TENT - LATER - DAY","L'Iliade","Chant I, Chant IX","2","déplacement","override_deplacement","Scène identifiée comme déplacement ou condensation d'un motif antique.","False"
"83","EXT. WALLS OF TROY - DAY","L'Iliade","Chant III","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"84","EXT. BATTLEFIELD - CONTINUOUS","L'Iliade","Chant III","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"85","EXT. WALLS OF TROY - CONTINUOUS","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"86","EXT. BLUFF - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"87","EXT. BATTLEFIELD - DAY","L'Iliade","Chant III","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"88","EXT. WALLS OF TROY - DAY","L'Iliade","Chant III","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"89","EXT. BATTLEFIELD - DAY","L'Iliade","Chant III","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"90","EXT. WALLS OF TROY - CONTINUOUS","L'Iliade","Chant III","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"91","EXT. BLUFF - CONTINUOUS","L'Iliade","Chant III","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"92","EXT. BATTLEFIELD - CONTINUOUS","L'Iliade","Chant III","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"93","EXT. WALLS OF TROY - CONTINUOUS","L'Iliade","Chant III","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"94","EXT. BATTLEFIELD - CONTINUOUS","Adaptation Cinéma","","4","invention contradictoire","override_contradiction","Mort de Ménélas par Hector : Ménélas survit dans la tradition homérique et post-homérique ; sa mort filmique est contradictoire.","True"
"95","EXT. BLUFF - CONTINUOUS","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"96","EXT. BATTLEFIELD - CONTINUOUS","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"97","EXT. BLUFF - CONTINUOUS","L'Iliade","Chant I","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"98","EXT. BATTLEFIELD - CONTINUOUS","Adaptation Cinéma","","4","invention contradictoire","override_contradiction","Mort d'Ajax par Hector : Ajax ne meurt pas tué par Hector ; tradition cyclique et Sophocle : folie/suicide après les armes d'Achille.","True"
"99","EXT. BLUFF - CONTINUOUS","Adaptation Cinéma","","4","invention contradictoire","override_contradiction","Mort d'Ajax par Hector : Ajax ne meurt pas tué par Hector ; tradition cyclique et Sophocle : folie/suicide après les armes d'Achille.","True"
"100","EXT. BATTLEFIELD - DAY","Adaptation Cinéma","","4","invention contradictoire","override_contradiction","Mort d'Ajax par Hector : Ajax ne meurt pas tué par Hector ; tradition cyclique et Sophocle : folie/suicide après les armes d'Achille.","True"
"101","EXT. WALLS OF TROY","Adaptation Cinéma","","4","invention contradictoire","override_contradiction","Mort d'Ajax par Hector : Ajax ne meurt pas tué par Hector ; tradition cyclique et Sophocle : folie/suicide après les armes d'Achille.","True"
"102","EXT. BATTLEFIELD","Adaptation Cinéma","","4","invention contradictoire","override_contradiction","Mort d'Ajax par Hector : Ajax ne meurt pas tué par Hector ; tradition cyclique et Sophocle : folie/suicide après les armes d'Achille.","True"
"103","EXT. BEACH ENCAMPMENT","L'Iliade","Chant VII","4","invention contradictoire","override_contradiction","Mort de Ménélas par Hector : Ménélas survit dans la tradition homérique et post-homérique ; sa mort filmique est contradictoire. | Mort d'Ajax par Hector : Ajax ne meurt pas tué par Hector ; tradition cyclique et Sophocle : folie/suicide après les armes d'Achille.","False"
"104","EXT. BATTLEFIELD - LATER","Héritage Gréco-Romain","","4","invention contradictoire","override_contradiction","Mort de Ménélas par Hector : Ménélas survit dans la tradition homérique et post-homérique ; sa mort filmique est contradictoire. | Mort d'Ajax par Hector : Ajax ne meurt pas tué par Hector ; tradition cyclique et Sophocle : folie/suicide après les armes d'Achille.","True"
"105","INT. PARIS'S BEDCHAMBER -NIGHT","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"106","EXT. BEACH ENCAMPMENT - NIGHT","Adaptation Cinéma","","4","invention contradictoire","override_contradiction","Mort d'Ajax par Hector : Ajax ne meurt pas tué par Hector ; tradition cyclique et Sophocle : folie/suicide après les armes d'Achille.","True"
"107","INT. AGAMEMNON'S TENT - NIGHT","L'Iliade","Chant IX","4","invention contradictoire","override_contradiction","Mort d'Ajax par Hector : Ajax ne meurt pas tué par Hector ; tradition cyclique et Sophocle : folie/suicide après les armes d'Achille.","False"
"108","EXT. GREEK CAMPFIRE - NIGHT","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"109","EXT. ACHILLES' TENT - NIGHT","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"110","INT. ACHILLES' TENT - LATER","Adaptation Cinéma","","4","invention contradictoire","override_contradiction","Briséis princesse troyenne ou cousine d'Hector : Briséis est homérique comme captive d'Achille, mais sa généalogie troyenne filmique est inventée.","True"
"111","EXT. BEACH - NIGHT","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"112","INT. ACHILLES' TENT - LATER","Adaptation Cinéma","","4","invention contradictoire","override_contradiction","Briséis princesse troyenne ou cousine d'Hector : Briséis est homérique comme captive d'Achille, mais sa généalogie troyenne filmique est inventée.","True"
"113","EXT. BAY - DAWN","L'Iliade","Formule épique homérique","3","invention sur fond emprunté","default","Source non reconnue par l'heuristique : à vérifier.","True"
"114","INT. ACHILLES' TENT - MORNING","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"115","EXT. ACHILLES' TENT - CONTINUOUS","L'Iliade","Chant IX, Chant XVI","4","invention contradictoire","override_contradiction","Patrocle, armure non autorisée et erreur d'identification : dans l'Iliade, Achille autorise Patrocle et Hector sait qu'il tue Patrocle ; le film inverse ces points.","False"
"116","INT. PRIAM'S MEETING HALL - MORNING","L'Iliade","Chant XII","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"117","EXT. ACHILLES' WARSHIP - LATER - DAY","L'Iliade","Chant IX","2","déplacement","override_deplacement","Scène identifiée comme déplacement ou condensation d'un motif antique.","False"
"118","INT. ACHILLES' TENT - DAY","L'Iliade","Chant IX","2","invention contradictoire","override_contradiction","Briséis princesse troyenne ou cousine d'Hector : Briséis est homérique comme captive d'Achille, mais sa généalogie troyenne filmique est inventée.","False"
"119","EXT. AGAMEMNON'S TENT - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"120","EXT. HIGH DUNES - CONTINUOUS","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"121","EXT. BEACH ENCAMPMENT - CONTINUOUS","L'Iliade","Chant XVI","4","invention contradictoire","override_contradiction","Patrocle, armure non autorisée et erreur d'identification : dans l'Iliade, Achille autorise Patrocle et Hector sait qu'il tue Patrocle ; le film inverse ces points.","False"
"122","EXT. ACHILLES' WARSHIP - LATER","L'Iliade","Chant XVIII","4","invention contradictoire","override_contradiction","Briséis princesse troyenne ou cousine d'Hector : Briséis est homérique comme captive d'Achille, mais sa généalogie troyenne filmique est inventée. | Patrocle, armure non autorisée et erreur d'identification : dans l'Iliade, Achille autorise Patrocle et Hector sait qu'il tue Patrocle ; le film inverse ces points.","False"
"123","EXT. PALACE GARDEN - NIGHT","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"124","INT. PALACE OF TROY - SUBTERRANEAN LEVEL - NIGHT","L'Iliade","Chant VI","2","déplacement","override_deplacement","Scène identifiée comme déplacement ou condensation d'un motif antique.","False"
"125","EXT. BEACH ENCAMPMENT - NIGHT","L'Iliade","Chant XVIII, Chant XXIII","4","invention contradictoire","override_contradiction","Patrocle, armure non autorisée et erreur d'identification : dans l'Iliade, Achille autorise Patrocle et Hector sait qu'il tue Patrocle ; le film inverse ces points.","False"
"126","EXT./INT. MONTAGE - NIGHT","Adaptation Cinéma","","4","invention contradictoire","override_contradiction","Patrocle, armure non autorisée et erreur d'identification : dans l'Iliade, Achille autorise Patrocle et Hector sait qu'il tue Patrocle ; le film inverse ces points.","True"
"127","EXT. BEACH ENCAMPMENT - DAWN","Adaptation Cinéma","","4","invention contradictoire","override_contradiction","Patrocle, armure non autorisée et erreur d'identification : dans l'Iliade, Achille autorise Patrocle et Hector sait qu'il tue Patrocle ; le film inverse ces points.","True"
"128","EXT. ACHILLES' TENT - DAWN","L'Iliade","Chant XIX","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"129","INT. ACHILLES' TENT - DAWN","L'Iliade","Chant XIX","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"130","INT. HECTOR'S CHAMBER - DAWN","L'Iliade","Chant XXII","2","déplacement","override_deplacement","Scène identifiée comme déplacement ou condensation d'un motif antique.","False"
"131","EXT. SHRINE OF APOLLO - MORNING","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"132","EXT. ACHILLES' TENT - MORNING","Adaptation Cinéma","","4","invention contradictoire","override_contradiction","Briséis princesse troyenne ou cousine d'Hector : Briséis est homérique comme captive d'Achille, mais sa généalogie troyenne filmique est inventée.","True"
"133","EXT. WALLS OF TROY - DAY","L'Iliade","Chant XXII","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"134","EXT. BATTLEFIELD - DAY","L'Iliade","Chant XXII","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"135","EXT. WALLS OF TROY - CONTINUOUS","L'Iliade","Chant XXII","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"136","EXT. BATTLEFIELD - CONTINUOUS","L'Iliade","Chant XXII","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"137","EXT. WALLS OF TROY - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"138","EXT. BATTLEFIELD - DAY","L'Iliade","Chant XXII","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"139","EXT. BATTLEFIELD - CONTINUOUS","L'Iliade","Chant XXII","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"140","EXT. WALLS OF TROY - CONTINUOUS","L'Iliade","Chant VI, Chant XXII","2","déplacement","override_deplacement","Scène identifiée comme déplacement ou condensation d'un motif antique.","False"
"141","EXT. BATTLEFIELD - DAY","L'Iliade","Chant XXII","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"142","EXT. HIGH DUNES - DAY","L'Iliade","Chant XXII","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"143","EXT. BATTLEFIELD - DAY","L'Iliade","Chant XXII","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"144","EXT. WALLS OF TROY - CONTINUOUS","L'Iliade","Chant XXII","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"145","EXT. BATTLEFIELD - CONTINUOUS","L'Iliade","Chant XXII","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"146","EXT. WALLS OF TROY - CONTINUOUS","L'Iliade","Chant XXII","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"147","EXT. BATTLEFIELD - CONTINUOUS","L'Iliade","Chant XXII","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"148","EXT. WALLS OF TROY - CONTINUOUS","L'Iliade","Chant XXII, Chant XXIV","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"149","EXT. BATTLEFIELD - CONTINUOUS","L'Iliade","Chant XXII","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"150","EXT. WALLS OF TROY - CONTINUOUS","L'Iliade","Chant XXII","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"151","EXT. HIGH DUNES - DAY","L'Iliade","Chant XXII","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"152","EXT. BEACH ENCAMPMENT - DAY","L'Iliade","Chant XXII","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
